date               ,open  ,high  ,low   ,close
2018-06-18 15:00:00,67.66 ,67.82 ,67.545,67.69
2018-06-18 16:00:00,67.69 ,67.69 ,67.57 ,67.595
2018-06-18 17:00:00,67.62 ,67.8  ,67.58 ,67.78
2018-06-18 18:00:00,67.78 ,67.835,67.6  ,67.6
2018-06-18 19:00:00,67.6  ,67.63 ,67.445,67.595
2018-06-18 20:00:00,67.595,67.595,67.595,67.595
2018-06-19 14:00:00,67.085,67.32 ,66.96 ,67.32
2018-06-19 15:00:00,67.305,67.625,67.305,67.495
2018-06-19 16:00:00,67.495,67.56 ,67.425,67.495
2018-06-19 17:00:00,67.495,67.495,67.36 ,67.455
2018-06-19 18:00:00,67.47 ,67.635,67.445,67.535
2018-06-19 19:00:00,67.545,67.545,67.415,67.485
2018-06-19 20:00:00,67.485,67.485,67.485,67.485
2018-06-20 14:00:00,67.63 ,67.64 ,67.09 ,67.095
2018-06-20 15:00:00,67.06 ,67.41 ,66.93 ,67.41
2018-06-20 16:00:00,67.38 ,67.435,66.91 ,66.94
2018-06-20 17:00:00,66.94 ,67.11 ,66.94 ,67.11
2018-06-20 18:00:00,67.11 ,67.28 ,66.945,66.96
2018-06-20 19:00:00,66.98 ,67.105,66.945,67.025
2018-06-20 20:00:00,67.025,67.025,67.025,67.025
2018-06-21 14:00:00,66.45 ,66.85 ,66.45 ,66.765
2018-06-21 15:00:00,66.765,66.87 ,66.66 ,66.855
2018-06-21 16:00:00,66.855,66.855,66.855,66.855
2018-06-21 17:00:00,66.695,66.755,66.625,66.635
2018-06-21 18:00:00,66.635,66.695,66.45 ,66.46
2018-06-21 19:00:00,66.44 ,66.51 ,66.36 ,66.44
2018-06-21 20:00:00,66.44 ,66.44 ,66.44 ,66.44
2018-06-22 14:00:00,69.15 ,69.25 ,68.77 ,69.25
2018-06-22 15:00:00,69.325,69.43 ,69.16 ,69.34
2018-06-22 16:00:00,69.34 ,69.445,69.315,69.445
2018-06-22 17:00:00,69.445,69.6  ,69.445,69.585
2018-06-22 18:00:00,69.585,69.6  ,69.355,69.405
2018-06-22 19:00:00,69.405,69.44 ,69.31 ,69.38
2018-06-22 20:00:00,69.38 ,69.38 ,69.38 ,69.38
2018-06-25 14:00:00,67.56 ,67.56 ,67.315,67.33
2018-06-25 15:00:00,67.405,67.455,67.22 ,67.37
2018-06-25 16:00:00,67.37 ,67.405,67.225,67.395
2018-06-25 17:00:00,67.395,67.44 ,67.295,67.385
2018-06-25 18:00:00,67.385,67.465,67.165,67.205
2018-06-25 19:00:00,67.205,67.465,67.175,67.335
2018-06-25 20:00:00,67.335,67.335,67.335,67.335
2018-06-26 14:00:00,68.205,68.265,67.88 ,67.915
2018-06-26 15:00:00,67.94 ,68.375,67.9  ,68.375
2018-06-26 16:00:00,68.375,68.455,68.25 ,68.285
2018-06-26 17:00:00,68.275,68.42 ,68.265,68.365
2018-06-26 18:00:00,68.365,68.405,68.305,68.395
2018-06-26 19:00:00,68.395,68.47 ,68.23 ,68.255
2018-06-26 20:00:00,68.255,68.255,68.255,68.255
2018-06-27 14:00:00,69.565,69.72 ,69.43 ,69.465
2018-06-27 15:00:00,69.465,69.515,69.165,69.3
2018-06-27 16:00:00,69.3  ,69.525,69.3  ,69.415
2018-06-27 17:00:00,69.415,69.415,69.3  ,69.335
2018-06-27 18:00:00,69.32 ,69.365,69.15 ,69.15
2018-06-27 19:00:00,69.15 ,69.15 ,69.0  ,69.075
2018-06-27 20:00:00,69.075,69.075,69.075,69.075
2018-06-28 14:00:00,68.565,69.08 ,68.565,69.08
2018-06-28 15:00:00,69.095,69.27 ,68.865,69.165
2018-06-28 16:00:00,69.165,69.195,69.095,69.195
2018-06-28 17:00:00,69.195,69.385,69.195,69.335
2018-06-28 18:00:00,69.335,69.38 ,69.225,69.38
2018-06-28 19:00:00,69.365,69.365,69.175,69.27
2018-06-28 20:00:00,69.27 ,69.27 ,69.27 ,69.27
2018-06-29 14:00:00,69.98 ,70.0  ,69.745,69.9
2018-06-29 15:00:00,69.9  ,69.9  ,69.395,69.395
2018-06-29 16:00:00,69.395,69.445,69.355,69.42
2018-06-29 17:00:00,69.42 ,69.49 ,69.36 ,69.405
2018-06-29 18:00:00,69.405,69.5  ,69.36 ,69.38
2018-06-29 19:00:00,69.38 ,69.415,69.22 ,69.225
2018-06-29 20:00:00,69.225,69.225,69.225,69.225
2018-07-02 14:00:00,68.26 ,68.515,68.15 ,68.45
2018-07-02 15:00:00,68.405,68.545,68.225,68.345
2018-07-02 16:00:00,68.345,68.355,68.19 ,68.3
2018-07-02 17:00:00,68.3  ,68.345,68.14 ,68.325
2018-07-02 18:00:00,68.325,68.365,68.24 ,68.365
2018-07-02 19:00:00,68.365,68.435,68.23 ,68.385
2018-07-02 20:00:00,68.385,68.385,68.385,68.385
2018-07-03 14:00:00,69.54 ,69.54 ,68.88 ,68.88
2018-07-03 15:00:00,68.88 ,68.985,68.75 ,68.985
2018-07-03 16:00:00,69.045,69.045,68.865,68.9
2018-07-03 17:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-03 18:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-03 19:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-03 20:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 14:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 15:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 16:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 17:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 18:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 19:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-04 20:00:00,68.9  ,68.9  ,68.9  ,68.9
2018-07-05 14:00:00,69.28 ,69.405,69.195,69.345
2018-07-05 15:00:00,69.14 ,69.33 ,69.01 ,69.33
2018-07-05 16:00:00,69.33 ,69.385,69.15 ,69.15
2018-07-05 17:00:00,69.15 ,69.205,69.125,69.155
2018-07-05 18:00:00,69.155,69.255,68.935,69.01
2018-07-05 19:00:00,69.01 ,69.11 ,69.01 ,69.065
2018-07-05 20:00:00,69.065,69.065,69.065,69.065
2018-07-06 14:00:00,69.045,69.27 ,69.045,69.27
2018-07-06 15:00:00,69.27 ,69.485,69.27 ,69.37
2018-07-06 16:00:00,69.37 ,69.455,69.37 ,69.375
2018-07-06 17:00:00,69.375,69.505,69.375,69.47
2018-07-06 18:00:00,69.47 ,69.555,69.46 ,69.49
2018-07-06 19:00:00,69.49 ,69.6  ,69.38 ,69.49
2018-07-06 20:00:00,69.49 ,69.49 ,69.49 ,69.49
2018-07-09 14:00:00,70.52 ,70.66 ,70.315,70.66
2018-07-09 15:00:00,70.66 ,70.785,70.37 ,70.37
2018-07-09 16:00:00,70.37 ,70.505,70.37 ,70.485
2018-07-09 17:00:00,70.485,70.49 ,70.43 ,70.475
2018-07-09 18:00:00,70.475,70.65 ,70.475,70.65
2018-07-09 19:00:00,70.65 ,70.825,70.595,70.805
2018-07-09 20:00:00,70.805,70.805,70.805,70.805
2018-07-10 14:00:00,71.685,71.795,71.38 ,71.485
